time;x;y;z
0.0040;-0.4824;0.4319;0.8116
0.0050;-0.4834;0.4412;0.7666
0.0070;-0.4834;0.4412;0.7666
0.0080;-0.4834;0.4412;0.7666
0.0090;-0.4829;0.4490;0.7476
0.0170;-0.4829;0.4490;0.7476
0.0190;-0.4882;0.4544;0.7202
0.0280;-0.4882;0.4544;0.7202
0.0290;-0.4882;0.4544;0.7202
0.0300;-0.4814;0.4539;0.7046
0.0340;-0.4814;0.4539;0.7046
0.0380;-0.4809;0.4520;0.7080
0.0470;-0.4809;0.4520;0.7080
0.0480;-0.4809;0.4520;0.7080
0.0490;-0.4785;0.4432;0.7187
0.0540;-0.4785;0.4432;0.7187
0.0580;-0.4834;0.4305;0.7344
0.0680;-0.4897;0.4270;0.7573
0.0700;-0.4897;0.4270;0.7573
0.0710;-0.4897;0.4270;0.7573
0.0860;-0.5049;0.4222;0.7720
0.0900;-0.5049;0.4222;0.7720
0.0910;-0.5176;0.4192;0.7793
0.0930;-0.5176;0.4192;0.7793
0.0940;-0.5176;0.4192;0.7793
0.0950;-0.5224;0.4226;0.8013
0.1010;-0.5224;0.4226;0.8013
0.1220;-0.5249;0.4231;0.8013
0.1240;-0.5249;0.4231;0.8013
0.1250;-0.5249;0.4231;0.8013
0.1260;-0.5166;0.4275;0.7945
0.1280;-0.5166;0.4275;0.7945
0.1300;-0.5112;0.4305;0.7847
0.1310;-0.5112;0.4305;0.7847
0.1330;-0.5112;0.4305;0.7847
0.1360;-0.5122;0.4329;0.7847
0.1460;-0.5122;0.4329;0.7847
0.1480;-0.5029;0.4305;0.7881
0.1490;-0.5029;0.4305;0.7881
0.1510;-0.5029;0.4305;0.7881
0.1560;-0.4907;0.4334;0.7832
0.1590;-0.4907;0.4334;0.7832
0.1690;-0.5000;0.4222;0.7808
0.1710;-0.5000;0.4222;0.7808
0.1720;-0.5000;0.4222;0.7808
0.1740;-0.4975;0.4153;0.7916
0.1970;-0.4975;0.4153;0.7916
0.1990;-0.4922;0.4134;0.7906
0.2000;-0.4922;0.4134;0.7906
0.2010;-0.4922;0.4134;0.7906
0.2030;-0.4882;0.4148;0.7652
0.2040;-0.4882;0.4148;0.7652
0.2410;-0.4882;0.4173;0.7442
0.2420;-0.4882;0.4173;0.7442
0.2430;-0.4882;0.4173;0.7442
0.2440;-0.4912;0.4173;0.7402
0.2460;-0.4941;0.4173;0.7495
0.2490;-0.4941;0.4173;0.7495
0.2500;-0.4941;0.4173;0.7495
0.2520;-0.4878;0.4148;0.7456
0.2530;-0.4878;0.4148;0.7456
0.2540;-0.4902;0.4134;0.7466
0.2550;-0.4902;0.4134;0.7466
0.2570;-0.4902;0.4134;0.7466
0.2580;-0.4853;0.4134;0.7461
0.2590;-0.4853;0.4134;0.7461
0.2600;-0.4966;0.4222;0.7339
