time;x;y;z
0,0050;-0,0021;0,5341;1,1600
0,0060;0,0453;0,6205;1,1580
0,0060;0,0453;0,6205;1,1580
0,0080;0,0580;0,6850;1,0520
0,0090;0,0580;0,6850;1,0520
0,0110;0,0399;0,7261;0,9924
0,0140;0,0399;0,7261;0,9924
0,0190;0,0355;0,7334;0,9846
0,0240;0,0355;0,7334;0,9846
0,0340;-0,0001;0,6733;1,0500
0,0360;-0,0001;0,6733;1,0500
0,0390;-0,0583;0,6078;1,1903
0,0580;-0,0583;0,6078;1,1903
0,0610;-0,0632;0,5575;1,3398
0,0620;-0,0632;0,5575;1,3398
0,0630;-0,0705;0,5057;1,4952
0,0650;-0,0705;0,5057;1,4952
0,0810;-0,0490;0,4637;1,5425
0,0820;-0,0490;0,4637;1,5425
0,0830;-0,0299;0,4051;1,5308
0,0850;-0,0299;0,4051;1,5308
0,0890;-0,0055;0,3591;1,5054
0,0970;-0,0055;0,3591;1,5054
0,0990;0,0184;0,3323;1,4566
0,1040;0,0184;0,3323;1,4566
0,1090;0,0243;0,3396;1,3378
0,1140;0,0243;0,3396;1,3378
0,1190;0,0111;0,3547;1,1922
0,1240;0,0111;0,3547;1,1922
0,1380;-0,0172;0,3694;1,0715
0,1390;-0,0768;0,3826;1,0017
0,1400;-0,0768;0,3826;1,0017
0,1470;-0,1355;0,3914;0,9753
0,1510;-0,1355;0,3914;0,9753
0,1550;-0,1702;0,3928;0,9767
0,1620;-0,1702;0,3928;0,9767
0,1860;-0,1897;0,3831;0,9987
0,1870;-0,1897;0,3831;0,9987
0,1890;-0,1623;0,3684;1,0085
0,1900;-0,1623;0,3684;1,0085
0,1920;-0,1179;0,3518;1,0017
0,1960;-0,1179;0,3518;1,0017
0,1980;-0,0509;0,3220;1,0007
0,2060;-0,0509;0,3220;1,0007
0,2070;-0,0177;0,2961;0,9626
0,2100;-0,0177;0,2961;0,9626
0,2210;-0,0333;0,2956;0,8702
0,2220;-0,0333;0,2956;0,8702
0,2250;-0,0202;0,2941;0,8116
0,2450;-0,0202;0,2941;0,8116
0,2460;0,0018;0,2746;0,8101
0,2470;0,0018;0,2746;0,8101
0,2490;0,0424;0,2624;0,8199
0,2500;0,0424;0,2624;0,8199
0,2550;0,0697;0,2541;0,8018
0,2640;0,0697;0,2541;0,8018
0,2650;0,1118;0,2458;0,8043
0,2870;0,1118;0,2458;0,8043
0,2880;0,1450;0,2384;0,7950
0,2900;0,1450;0,2384;0,7950
0,2920;0,1714;0,2467;0,7412
0,2940;0,1714;0,2467;0,7412
0,2960;0,2002;0,2458;0,6821
0,3000;0,2080;0,2394;0,6552
0,3050;0,2080;0,2394;0,6552
0,3100;0,2755;0,2448;0,6088
0,3150;0,2755;0,2448;0,6088
0,3200;0,3180;0,2287;0,5683
0,3250;0,3180;0,2287;0,5683
0,3390;0,3663;0,2189;0,5047
0,3410;0,3663;0,2189;0,5047
0,3420;0,2755;0,2521;0,4774
0,3480;0,2755;0,2521;0,4774
0,3500;0,1997;0,2790;0,5047
0,3550;0,1997;0,2790;0,5047
0,3620;0,1479;0,2316;0,5800
0,3860;0,1479;0,2316;0,5800
0,3880;0,1255;0,2121;0,7432
0,3890;0,1255;0,2121;0,7432
0,3920;0,1582;0,2213;0,7989
0,3940;0,1582;0,2213;0,7989
0,4010;0,1846;0,2189;0,8160
0,4020;0,1846;0,2189;0,8160
0,4030;0,1914;0,2248;0,8038
0,4070;0,1914;0,2248;0,8038
0,4100;0,1987;0,2204;0,7754
0,4150;0,1987;0,2204;0,7754
0,4210;0,2105;0,2223;0,7808
0,4250;0,2105;0,2223;0,7808
0,4370;0,2295;0,2179;0,8385
0,4390;0,2295;0,2179;0,8385
0,4400;0,2075;0,2013;0,9254
0,4480;0,2075;0,2013;0,9254
0,4500;0,2168;0,2160;0,9381
0,4550;0,2168;0,2160;0,9381
0,4600;0,2432;0,2531;0,9372
0,4880;0,2432;0,2531;0,9372
0,4890;0,2823;0,2736;0,9372
0,4900;0,3517;0,3049;0,9215
0,4910;0,3517;0,3049;0,9215
0,5240;0,3585;0,3264;0,9504
