time;x;y;z
0,0030;-0,1921;0,3274;0,8692
0,0040;-0,1511;0,3484;0,8473
0,0110;-0,1511;0,3484;0,8473
0,0130;-0,1203;0,3596;0,8018
0,0170;-0,1203;0,3596;0,8018
0,0210;-0,1013;0,3748;0,7647
0,0260;-0,1013;0,3748;0,7647
0,0360;-0,0905;0,3840;0,7422
0,0370;-0,0905;0,3840;0,7422
0,0410;-0,0812;0,4026;0,6591
0,0460;-0,0812;0,4026;0,6591
0,0510;-0,0803;0,4012;0,6215
0,0560;-0,0803;0,4012;0,6215
0,0610;-0,0602;0,4041;0,6230
0,0700;-0,0602;0,4041;0,6230
0,0710;-0,0441;0,4007;0,5976
0,0760;-0,0441;0,4007;0,5976
0,0810;-0,0343;0,3928;0,5898
0,0860;-0,0343;0,3928;0,5898
0,0910;-0,0246;0,3977;0,5805
0,0970;-0,0246;0,3977;0,5805
0,1070;-0,0246;0,3919;0,5692
0,1080;-0,0246;0,3919;0,5692
0,1110;-0,0172;0,4036;0,5590
0,1170;-0,0172;0,4036;0,5590
0,1210;0,0004;0,4129;0,5624
0,1260;0,0004;0,4129;0,5624
0,1350;0,0165;0,4226;0,5560
0,1370;0,0165;0,4226;0,5560
0,1410;0,0238;0,4324;0,5541
0,1470;0,0238;0,4324;0,5541
0,1510;0,0297;0,4422;0,5683
0,1560;0,0297;0,4422;0,5683
0,1610;0,0375;0,4598;0,5883
0,1670;0,0404;0,4661;0,6137
0,1710;0,0404;0,4661;0,6137
0,1760;0,0326;0,4823;0,6249
0,1910;0,0326;0,4823;0,6249
0,1930;0,0351;0,4984;0,6738
0,1940;0,0351;0,4984;0,6738
0,1970;0,0707;0,5145;0,6821
0,2010;0,0707;0,5145;0,6821
0,2060;0,0580;0,5512;0,7148
0,2110;0,0580;0,5512;0,7148
0,2190;0,0375;0,5692;0,6977
0,2220;0,0375;0,5692;0,6977
0,2260;0,0654;0,5922;0,7085
0,2330;0,0654;0,5922;0,7085
0,2360;0,0727;0,6352;0,7207
0,2410;0,0727;0,6352;0,7207
0,2460;0,0829;0,6767;0,7749
0,2550;0,0829;0,6767;0,7749
0,2560;0,0531;0,6982;0,7945
0,2610;0,0531;0,6982;0,7945
0,2670;0,0272;0,7036;0,8140
0,2720;0,0272;0,7036;0,8140
0,2780;0,0302;0,6977;0,8560
0,2940;0,0302;0,6977;0,8560
0,2950;-0,0016;0,7119;0,8849
0,2960;-0,0016;0,7119;0,8849
0,2980;-0,0177;0,7173;0,9274
0,3040;-0,0177;0,7173;0,9274
0,3070;-0,0079;0,7104;0,9284
0,3120;-0,0079;0,7104;0,9284
0,3180;-0,0465;0,7090;0,9870
0,3210;-0,0465;0,7090;0,9870
0,3260;-0,0612;0,7065;1,0383
0,3360;-0,0612;0,7065;1,0383
0,3370;-0,0500;0,7075;1,0662
0,3410;-0,0299;0,7427;1,0862
0,3460;-0,0299;0,7427;1,0862
0,3510;-0,0265;0,7510;1,0740
0,3560;-0,0265;0,7510;1,0740
0,3610;-0,0333;0,7525;1,0964
0,3710;-0,0333;0,7525;1,0964
0,3720;-0,0602;0,7373;1,0964
0,3760;-0,0602;0,7373;1,0964
0,3840;-0,0783;0,7056;1,1057
0,3860;-0,0783;0,7056;1,1057
0,3910;-0,0886;0,6694;1,1165
0,3960;-0,0886;0,6694;1,1165
0,4080;-0,0783;0,6318;1,1399
0,4100;-0,0783;0,6318;1,1399
0,4110;-0,0524;0,5971;1,1756
0,4170;-0,0524;0,5971;1,1756
0,4210;-0,0246;0,5614;1,2064
0,4260;-0,0246;0,5614;1,2064
0,4350;-0,0123;0,5282;1,2235
0,4370;-0,0123;0,5282;1,2235
0,4410;-0,0070;0,4808;1,2313
0,4470;-0,0070;0,4808;1,2313
0,4520;-0,0001;0,4339;1,2108
0,4570;-0,0001;0,4339;1,2108
0,4610;0,0160;0,4095;1,1785
0,4740;0,0160;0,4095;1,1785
0,4760;0,0497;0,3997;1,0950
0,4770;0,0497;0,3997;1,0950
0,4850;0,0663;0,3968;1,0114
0,4860;0,0663;0,3968;1,0114
0,4910;0,0707;0,3797;0,8878
0,5030;0,0707;0,3797;0,8878
0,5040;-0,0231;0,3733;0,7891
0,5120;-0,0231;0,3733;0,7891
0,5130;0,0834;0,3836;0,6142
0,5210;0,0399;0,3753;0,4974
0,5230;0,0399;0,3753;0,4974
0,5270;0,0399;0,3679;0,3767
0,5350;0,0399;0,3679;0,3767
0,5430;0,0409;0,3586;0,2736
0,5450;0,0409;0,3586;0,2736
0,5460;0,0561;0,3411;0,2072
0,5520;0,0561;0,3411;0,2072
0,5560;0,0507;0,2888;0,1857
0,5610;0,0507;0,2888;0,1857
0,5710;-0,0387;0,1876;0,2340
0,5730;-0,0387;0,1876;0,2340
0,5770;-0,0944;0,1114;0,2770
0,5850;-0,0944;0,1114;0,2770
0,5860;-0,1218;0,0523;0,3152
0,5920;-0,1218;0,0523;0,3152
0,5970;-0,1565;0,0020;0,3508
0,6270;-0,1565;0,0020;0,3508
