time;x;y;z
0,0050;-0,0153;0,7227;0,7090
0,0060;-0,0211;0,7178;0,7046
0,0070;-0,0211;0,7178;0,7046
0,0090;-0,0202;0,7227;0,7129
0,0110;-0,0202;0,7227;0,7129
0,0120;-0,0158;0,7158;0,7095
0,0140;-0,0158;0,7158;0,7095
0,0200;-0,0143;0,7173;0,7114
0,0230;-0,0143;0,7173;0,7114
0,0540;-0,0118;0,7134;0,7202
0,0570;-0,0118;0,7134;0,7202
0,0580;-0,0045;0,7065;0,7246
0,0590;-0,0045;0,7065;0,7246
0,0600;0,0082;0,7036;0,7280
0,0620;0,0082;0,7036;0,7280
0,0640;0,0150;0,6982;0,7197
0,0670;0,0150;0,6982;0,7197
0,0950;0,0131;0,6982;0,7241
0,0960;0,0131;0,6982;0,7241
0,0970;0,0121;0,7021;0,7241
0,0990;0,0121;0,7021;0,7241
0,1010;0,0150;0,6997;0,7178
0,1020;0,0150;0,6997;0,7178
0,1040;0,0106;0,6982;0,7187
0,1050;0,0106;0,6982;0,7187
0,1100;0,0038;0,6973;0,7231
0,1190;0,0038;0,6973;0,7231
0,1210;0,0004;0,6938;0,7256
0,1230;0,0004;0,6938;0,7256
0,1390;-0,0050;0,6948;0,7202
0,1410;-0,0050;0,6948;0,7202
0,1420;-0,0001;0,6894;0,7192
0,1440;-0,0001;0,6894;0,7192
0,1540;-0,0050;0,6938;0,7227
0,1550;-0,0050;0,6938;0,7227
0,1580;-0,0099;0,6894;0,7388
0,1640;-0,0079;0,6943;0,7354
0,1910;-0,0079;0,6943;0,7354
0,1930;-0,0114;0,6929;0,7324
0,1940;-0,0114;0,6929;0,7324
0,1980;-0,0123;0,7007;0,7319
0,1990;-0,0123;0,7007;0,7319
0,2030;-0,0158;0,6982;0,7324
0,2040;-0,0158;0,6982;0,7324
0,2050;-0,0148;0,6958;0,7344
0,2140;-0,0148;0,6958;0,7344
0,2150;-0,0123;0,6919;0,7295
0,2190;-0,0123;0,6919;0,7295
0,2230;-0,0162;0,6914;0,7378
0,2450;-0,0162;0,6914;0,7378
0,2460;-0,0138;0,6894;0,7300
0,2470;-0,0138;0,6894;0,7300
0,2480;-0,0158;0,6841;0,7310
0,2490;-0,0158;0,6841;0,7310
0,2830;-0,0192;0,6880;0,7324
0,2840;-0,0192;0,6880;0,7324
0,2850;-0,0236;0,6870;0,7285
0,2870;-0,0236;0,6870;0,7285
0,2880;-0,0187;0,6875;0,7183
0,2900;-0,0187;0,6875;0,7183
0,2910;-0,0138;0,6943;0,7100
0,2930;-0,0138;0,6943;0,7100
0,2940;-0,0172;0,6953;0,7065
0,3060;-0,0172;0,6953;0,7065
0,3080;-0,0153;0,6973;0,7227
0,3100;-0,0153;0,6973;0,7227
0,3190;-0,0206;0,6875;0,7310
0,3200;-0,0206;0,6875;0,7310
0,3240;-0,0187;0,6865;0,7349
0,3410;-0,0187;0,6865;0,7349
0,3430;-0,0197;0,6894;0,7398
0,3450;-0,0162;0,6855;0,7378
0,3490;-0,0162;0,6855;0,7378
0,3500;-0,0172;0,6885;0,7393
0,3970;-0,0172;0,6885;0,7393
0,3980;-0,0128;0,6933;0,7373
0,3990;-0,0128;0,6933;0,7373
0,4010;-0,0153;0,6938;0,7349
0,4030;-0,0153;0,6938;0,7349
0,4050;-0,0133;0,6943;0,7373
0,4060;-0,0133;0,6943;0,7373
0,4070;-0,0079;0,6943;0,7437
0,4080;-0,0079;0,6943;0,7437
0,4090;-0,0133;0,6919;0,7461
0,4120;-0,0133;0,6919;0,7461
0,4160;-0,0079;0,6919;0,7481
0,4170;-0,0079;0,6919;0,7481
0,4180;-0,0050;0,6899;0,7481
0,4240;-0,0050;0,6899;0,7481
0,4410;0,0033;0,6855;0,7500
0,4430;0,0033;0,6855;0,7500
0,4450;0,0018;0,6831;0,7461
0,4460;0,0018;0,6831;0,7461
0,4960;0,0009;0,6792;0,7505
0,4980;0,0009;0,6792;0,7505
0,4990;0,0092;0,6831;0,7525
0,5010;0,0092;0,6831;0,7525
0,5020;-0,0050;0,6787;0,7476
0,5040;-0,0050;0,6787;0,7476
0,5060;-0,0495;0,6738;0,7505
0,5160;-0,0495;0,6738;0,7505
0,5170;0,0199;0,6743;0,7114
0,5180;0,0199;0,6743;0,7114
0,5200;0,0057;0,6855;0,7451
0,5210;0,0057;0,6855;0,7451
0,5240;-0,0114;0,6640;0,7368
0,5250;-0,0114;0,6640;0,7368
0,5260;-0,0065;0,6670;0,7305
0,5290;-0,0070;0,6660;0,7354
0,5300;-0,0070;0,6660;0,7354
0,5390;-0,0079;0,6640;0,7476
0,5400;-0,0079;0,6640;0,7476
0,5450;-0,0089;0,6611;0,7456
0,5570;-0,0089;0,6611;0,7456
0,5580;-0,0079;0,6543;0,7530
0,5620;-0,0079;0,6543;0,7530
0,5760;-0,0114;0,6523;0,7554
0,5770;-0,0114;0,6523;0,7554
0,5810;-0,0162;0,6518;0,7530
0,5860;-0,0162;0,6518;0,7530
0,5870;-0,0148;0,6533;0,7393
0,5880;-0,0148;0,6533;0,7393
0,6240;-0,0138;0,6533;0,7227
0,6260;-0,0138;0,6533;0,7227
0,6280;-0,0079;0,6557;0,7104
0,6300;-0,0079;0,6557;0,7104
0,6310;-0,0109;0,6435;0,7197
0,6330;-0,0109;0,6435;0,7197
0,6340;-0,0202;0,6459;0,7109
0,6360;-0,0202;0,6459;0,7109
0,6370;-0,0294;0,6420;0,7178
0,6410;-0,0294;0,6420;0,7178
0,6440;0,0307;0,6973;0,6586
0,6560;0,0307;0,6973;0,6586
0,6580;-0,0754;0,6083;0,7402
0,6590;-0,0754;0,6083;0,7402
0,6650;-0,0817;0,6279;0,7178
0,6690;-0,0817;0,6279;0,7178
0,6740;-0,0651;0,6357;0,7402
0,6790;-0,0651;0,6357;0,7402
0,7020;-0,0778;0,6303;0,7324
0,7040;-0,0778;0,6303;0,7324
0,7050;-0,0651;0,6318;0,7036
0,7060;-0,0602;0,6337;0,6870
0,7080;-0,0602;0,6337;0,6870
0,7090;-0,0563;0,6415;0,7051
0,7150;-0,0563;0,6415;0,7051
0,7190;-0,0739;0,6420;0,6630
0,7240;-0,0739;0,6420;0,6630
0,7310;-0,0734;0,6415;0,6841
0,7340;-0,0734;0,6415;0,6841
0,7390;-0,0895;0,6352;0,6792
0,7440;-0,0895;0,6352;0,6792
0,7600;-0,1057;0,6362;0,7183
0,7620;-0,1057;0,6362;0,7183
0,7630;-0,1257;0,6357;0,7451
0,7650;-0,1257;0,6357;0,7451
0,7970;-0,1389;0,6142;0,7598
0,8000;-0,1389;0,6142;0,7598
0,8010;-0,1394;0,6171;0,7564
0,8020;-0,1394;0,6171;0,7564
0,8050;-0,1233;0,6215;0,7617
0,8070;-0,1233;0,6215;0,7617
0,8090;-0,1110;0,6186;0,7471
0,8110;-0,1110;0,6186;0,7471
0,8130;-0,1096;0,6259;0,7422
0,8150;-0,1096;0,6259;0,7422
0,8210;-0,1076;0,6381;0,7622
0,8260;-0,1076;0,6381;0,7622
0,8310;-0,1062;0,6630;0,7271
0,8340;-0,1062;0,6630;0,7271
0,8390;-0,1130;0,6772;0,7065
0,8450;-0,1130;0,6772;0,7065
0,8500;-0,0925;0,6919;0,7402
0,8690;-0,0925;0,6919;0,7402
0,8710;-0,0886;0,6943;0,7315
0,8740;-0,0886;0,6943;0,7315
0,8760;-0,0886;0,7109;0,7383
0,8780;-0,0729;0,7241;0,7451
0,8800;-0,0729;0,7241;0,7451
0,9400;-0,0671;0,7442;0,7549
0,9430;-0,0671;0,7442;0,7549
0,9450;-0,0705;0,7471;0,8121
0,9460;-0,0705;0,7471;0,8121
0,9480;-0,0759;0,7280;0,8306
0,9500;-0,0759;0,7280;0,8306
0,9520;-0,0583;0,7285;0,8556
0,9540;-0,0583;0,7285;0,8556
0,9550;-0,0431;0,7280;0,8702
0,9570;-0,0431;0,7280;0,8702
0,9580;-0,0250;0,7241;0,8624
0,9600;-0,0250;0,7241;0,8624
0,9620;-0,0128;0,7114;0,8629
0,9630;-0,0128;0,7114;0,8629
0,9660;-0,0089;0,7021;0,8419
0,9680;-0,0089;0,7021;0,8419
0,9690;0,0082;0,7031;0,8297
0,9710;0,0082;0,7031;0,8297
0,9760;0,0121;0,6914;0,8189
0,9950;0,0121;0,6914;0,8189
1,0250;0,0087;0,6777;0,8072
1,0270;0,0087;0,6777;0,8072
1,0300;0,0023;0,6611;0,8052
1,0340;0,0023;0,6611;0,8052
1,0360;0,0009;0,6518;0,7920
1,0410;0,0009;0,6518;0,7920
1,0420;0,0136;0,6538;0,7652
1,0430;0,0136;0,6538;0,7652
1,0490;0,0087;0,6474;0,7578
1,0510;0,0087;0,6474;0,7578
1,0520;0,0023;0,6367;0,7319
1,0530;0,0023;0,6367;0,7319
1,0540;-0,0094;0,6308;0,7275
1,0590;-0,0094;0,6308;0,7275
1,0600;-0,0153;0,6328;0,7290
1,0610;-0,0309;0,6240;0,7295
1,0670;-0,0309;0,6240;0,7295
1,0690;-0,0202;0,6313;0,7300
1,0770;-0,0202;0,6313;0,7300
1,0850;-0,0348;0,6313;0,7202
1,0860;-0,0348;0,6313;0,7202
1,0900;-0,0368;0,6352;0,7461
1,0940;-0,0368;0,6352;0,7461
1,1060;-0,0456;0,6376;0,7402
1,1070;-0,0456;0,6376;0,7402
1,1100;-0,0446;0,6425;0,7363
1,1540;-0,0446;0,6425;0,7363
1,1560;-0,0426;0,6528;0,7368
1,1570;-0,0426;0,6528;0,7368
1,1580;-0,0402;0,6543;0,7383
1,1590;-0,0402;0,6543;0,7383
1,1610;-0,0456;0,6547;0,7368
1,1630;-0,0456;0,6547;0,7368
1,1650;-0,0407;0,6699;0,7437
1,1660;-0,0407;0,6699;0,7437
1,1670;-0,0358;0,6718;0,7422
1,1680;-0,0358;0,6718;0,7422
1,1690;-0,0314;0,6753;0,7119
1,1750;-0,0314;0,6753;0,7119
1,1940;-0,0192;0,6889;0,7173
1,1970;-0,0192;0,6889;0,7173
1,1980;-0,0206;0,6880;0,7280
1,1990;-0,0206;0,6880;0,7280
1,2010;-0,0241;0,6689;0,7256
1,2330;-0,0241;0,6689;0,7256
