time;x;y;z
0,002;0,18;-0,17;0,19
0,003;0,28;-0,21;0,13
0,004;0,30;-0,20;0,11
0,014;0,36;-0,22;0,07
0,015;0,38;-0,24;0,04
0,026;0,41;-0,24;0,00
0,028;0,43;-0,21;-0,02
0,030;0,46;-0,18;-0,04
0,048;0,48;-0,17;-0,04
0,049;0,52;-0,14;-0,07
0,050;0,55;-0,09;-0,08
0,050;0,56;-0,05;-0,09
0,058;0,57;0,05;-0,09
0,060;0,55;0,15;-0,09
0,077;0,52;0,25;-0,08
0,079;0,48;0,30;-0,09
0,080;0,42;0,36;-0,09
0,082;0,27;0,49;-0,08
0,090;0,19;0,55;-0,07
0,091;0,12;0,59;-0,06
0,094;0,01;0,61;-0,06
0,111;-0,09;0,64;-0,06
0,113;-0,20;0,65;-0,05
0,115;-0,31;0,66;-0,00
0,116;-0,45;0,59;0,04
0,142;-0,65;0,37;0,10
0,143;-0,68;0,21;0,13
0,144;-0,63;-0,01;0,17
0,145;-0,62;-0,10;0,12
0,146;-0,61;-0,10;0,08
0,147;-0,62;-0,22;0,04
0,164;-0,64;-0,33;0,01
0,167;-0,66;-0,41;-0,01
0,169;-0,69;-0,32;-0,03
0,170;-0,68;-0,28;-0,01
0,171;-0,69;-0,28;-0,04
0,187;-0,67;-0,35;-0,08
0,188;-0,67;-0,42;-0,13
0,193;-0,63;-0,45;-0,16
0,195;-0,61;-0,45;-0,20
0,196;-0,60;-0,43;-0,22
0,207;-0,65;-0,25;-0,25
0,209;-0,69;-0,13;-0,25
0,210;-0,73;-0,04;-0,26
0,215;-0,75;0,04;-0,27
0,239;-0,75;0,08;-0,26
0,241;-0,71;0,09;-0,27
0,242;-0,64;0,10;-0,27
0,243;-0,55;0,09;-0,30
0,245;-0,29;0,06;-0,34
0,246;-0,13;0,02;-0,36
0,258;0,07;-0,02;-0,38
0,260;0,25;-0,08;-0,40
0,261;0,43;-0,11;-0,43
0,288;0,63;-0,14;-0,46
0,289;0,79;-0,13;-0,49
0,291;0,94;-0,14;-0,51
0,292;1,17;0,01;-0,59
0,293;1,25;0,15;-0,61
0,295;1,29;0,31;-0,64
0,296;1,33;0,52;-0,66
0,313;1,31;0,72;-0,67
0,315;1,27;0,96;-0,68
0,316;1,25;1,15;-0,73
0,317;1,22;1,36;-0,74
0,336;1,10;1,77;-0,70
0,337;1,01;1,95;-0,69
0,338;0,92;2,09;-0,69
0,340;0,80;2,19;-0,70
0,341;0,69;2,27;-0,71
0,355;0,58;2,32;-0,74
0,356;0,49;2,35;-0,75
0,358;0,34;2,35;-0,76
0,374;0,30;2,40;-0,77
0,375;0,27;2,44;-0,81
0,376;0,26;2,47;-0,89
0,378;0,23;2,47;-0,98
0,389;0,21;2,46;-1,05
0,391;0,22;2,52;-1,09
0,392;0,23;2,67;-1,11
0,395;0,23;2,86;-1,13
0,409;0,25;2,94;-1,16
0,410;0,27;3,04;-1,17
0,411;0,32;3,14;-1,19
0,415;0,35;3,23;-1,21
0,433;0,37;3,28;-1,24
0,434;0,39;3,35;-1,25
0,436;0,40;3,42;-1,24
0,437;0,41;3,57;-1,18
0,440;0,41;3,57;-1,14
0,445;0,37;3,53;-1,11
0,463;0,34;3,48;-1,10
0,465;0,27;3,42;-1,09
0,466;0,23;3,33;-1,08
0,467;0,18;3,18;-1,10
0,485;0,11;3,02;-1,11
0,487;0,01;2,63;-1,13
0,488;-0,04;2,50;-1,15
0,489;-0,08;2,38;-1,16
0,490;-0,14;2,29;-1,21
0,506;-0,23;2,23;-1,24
0,507;-0,31;2,15;-1,27
0,508;-0,39;2,09;-1,29
0,518;-0,47;2,04;-1,33
0,519;-0,59;1,93;-1,33
0,520;-0,63;1,92;-1,31
0,525;-0,63;1,93;-1,30
0,531;-0,62;1,99;-1,28
0,547;-0,59;2,06;-1,27
0,549;-0,56;2,18;-1,29
0,550;-0,52;2,30;-1,29
0,553;-0,48;2,40;-1,32
0,570;-0,41;2,54;-1,34
0,571;-0,35;2,59;-1,27
0,572;-0,29;2,65;-1,29
0,573;-0,28;2,70;-1,32
0,575;-0,25;2,74;-1,34
0,580;-0,22;2,81;-1,34
0,593;-0,18;2,84;-1,34
0,595;-0,17;2,84;-1,34
0,596;-0,08;2,69;-1,38
0,620;-0,05;2,63;-1,40
0,622;-0,01;2,59;-1,42
0,623;0,02;2,56;-1,44
0,625;0,06;2,53;-1,46
0,626;0,09;2,50;-1,47
0,627;0,10;2,47;-1,51
0,632;0,10;2,46;-1,52
0,647;0,09;2,50;-1,55
0,648;0,08;2,55;-1,55
0,654;0,09;2,57;-1,56
0,655;0,07;2,61;-1,56
0,656;0,05;2,61;-1,61
0,673;0,01;2,62;-1,66
0,674;-0,05;2,63;-1,69
0,676;-0,15;2,59;-1,75
0,677;-0,37;2,39;-1,88
0,685;-0,49;2,32;-1,95
0,686;-0,59;2,24;-1,99
0,700;-0,74;2,19;-2,05
0,702;-0,89;2,17;-2,10
0,703;-1,04;2,13;-2,18
0,705;-1,20;2,08;-2,26
0,711;-1,37;2,02;-2,29
0,718;-1,65;1,85;-2,33
0,733;-1,77;1,78;-2,34
0,736;-1,87;1,68;-2,32
0,737;-1,98;1,58;-2,33
0,738;-2,07;1,48;-2,35
0,740;-2,13;1,43;-2,37
0,745;-2,19;1,37;-2,41
0,762;-2,32;1,29;-2,51
0,763;-2,38;1,31;-2,56
0,764;-2,45;1,28;-2,63
0,765;-2,49;1,30;-2,70
0,783;-2,54;1,31;-2,76
0,784;-2,58;1,35;-2,81
0,785;-2,60;1,38;-2,85
0,786;-2,60;1,42;-2,88
0,796;-2,59;1,46;-2,88
0,797;-2,54;1,43;-2,86
0,817;-2,49;1,36;-2,85
0,820;-2,40;1,28;-2,78
0,821;-2,31;1,19;-2,73
0,822;-2,20;1,10;-2,67
0,823;-2,08;1,09;-2,61
0,825;-1,99;1,11;-2,55
0,831;-1,87;1,00;-2,47
0,843;-1,85;0,93;-2,44
0,844;-1,82;0,84;-2,44
0,846;-1,80;0,76;-2,43
0,863;-1,78;0,74;-2,42
0,864;-1,77;0,74;-2,43
0,866;-1,75;0,75;-2,46
0,869;-1,72;0,79;-2,48
0,873;-1,67;0,95;-2,51
0,877;-1,62;1,04;-2,53
0,903;-1,57;1,12;-2,53
0,909;-1,49;1,20;-2,52
0,913;-1,40;1,27;-2,50
0,915;-1,30;1,32;-2,47
0,917;-1,17;1,35;-2,44
0,920;-1,05;1,38;-2,39
0,921;-0,83;1,36;-2,27
0,923;-0,74;1,31;-2,22
0,925;-0,66;1,27;-2,15
0,926;-0,62;1,19;-2,08
0,949;-0,58;1,11;-2,01
0,951;-0,58;1,04;-1,95
0,952;-0,60;0,93;-1,90
0,953;-0,63;0,88;-1,85
0,954;-0,76;0,70;-1,76
0,956;-0,82;0,62;-1,74
0,970;-0,89;0,52;-1,71
0,972;-0,97;0,44;-1,69
0,973;-1,03;0,34;-1,66
0,975;-1,08;0,26;-1,62
0,981;-1,13;0,24;-1,61
0,993;-1,21;0,14;-1,60
