time;x;y;z
0,003;0,18;0,08;-0,10
0,004;0,19;0,09;-0,10
0,036;0,20;0,14;-0,09
0,037;0,22;0,17;-0,09
0,038;0,23;0,19;-0,09
0,039;0,24;0,25;-0,08
0,039;0,27;0,28;-0,08
0,040;0,27;0,29;-0,09
0,042;0,27;0,30;-0,11
0,043;0,29;0,31;-0,10
0,062;0,29;0,29;-0,10
0,065;0,27;0,26;-0,10
0,066;0,25;0,19;-0,11
0,066;0,17;0,12;-0,13
0,068;0,11;0,10;-0,13
0,082;0,05;0,07;-0,15
0,083;-0,01;0,03;-0,15
0,084;-0,06;0,01;-0,17
0,095;-0,11;-0,00;-0,16
0,096;-0,15;-0,01;-0,18
0,107;-0,19;-0,02;-0,19
0,108;-0,30;-0,01;-0,18
0,109;-0,32;-0,00;-0,15
0,130;-0,36;0,01;-0,14
0,131;-0,39;0,00;-0,14
0,132;-0,40;0,02;-0,14
0,133;-0,42;0,03;-0,13
0,134;-0,42;0,03;-0,12
0,147;-0,43;0,04;-0,09
0,148;-0,45;0,06;-0,07
0,149;-0,47;0,02;-0,05
0,171;-0,48;0,01;-0,05
0,173;-0,50;-0,03;-0,04
0,174;-0,50;-0,08;-0,06
0,175;-0,52;-0,10;-0,05
0,176;-0,53;-0,15;-0,04
0,195;-0,55;-0,18;-0,05
0,197;-0,57;-0,26;-0,05
0,198;-0,58;-0,27;-0,04
0,199;-0,57;-0,26;-0,04
0,200;-0,59;-0,23;-0,05
0,219;-0,60;-0,20;-0,04
0,220;-0,61;-0,19;-0,05
0,222;-0,61;-0,16;-0,04
0,223;-0,62;-0,13;-0,02
0,224;-0,65;-0,08;0,03
0,241;-0,67;-0,09;0,06
0,242;-0,69;-0,08;0,05
0,243;-0,72;-0,06;0,07
0,245;-0,75;0,01;0,08
0,265;-0,80;0,07;0,11
0,266;-0,86;0,14;0,12
0,267;-0,89;0,18;0,16
0,268;-0,97;0,27;0,16
0,269;-0,99;0,24;0,16
0,287;-1,03;0,22;0,17
0,288;-1,06;0,18;0,19
0,289;-1,09;0,14;0,21
0,291;-1,12;0,12;0,22
0,316;-1,15;0,09;0,24
0,317;-1,18;0,03;0,25
0,318;-1,22;-0,07;0,25
0,319;-1,25;-0,14;0,22
0,320;-1,26;-0,20;0,22
0,322;-1,28;-0,24;0,19
0,323;-1,29;-0,29;0,16
0,342;-1,28;-0,34;0,13
0,343;-1,27;-0,35;0,11
0,344;-1,26;-0,35;0,08
0,345;-1,20;-0,32;0,05
0,376;-1,16;-0,33;0,05
0,377;-1,12;-0,35;0,05
0,379;-1,05;-0,35;0,08
0,384;-1,00;-0,38;0,08
