time;x;y;z
0,002;-0,18;-0,14;0,25
0,003;-0,22;-0,18;0,22
0,015;-0,24;-0,21;0,21
0,016;-0,26;-0,23;0,19
0,032;-0,30;-0,24;0,17
0,034;-0,28;-0,22;0,15
0,035;-0,28;-0,17;0,16
0,036;-0,26;-0,13;0,17
0,052;-0,22;-0,08;0,17
0,053;-0,20;-0,01;0,18
0,054;-0,17;0,04;0,18
0,055;-0,07;0,14;0,16
0,080;-0,02;0,16;0,15
0,082;0,05;0,17;0,15
0,083;0,11;0,13;0,11
0,085;0,16;0,10;0,09
0,086;0,22;0,04;0,05
0,087;0,26;-0,03;0,03
0,088;0,27;-0,12;-0,01
0,104;0,28;-0,29;-0,05
0,105;0,24;-0,37;-0,06
0,106;0,20;-0,44;-0,07
0,126;0,14;-0,53;-0,09
0,127;0,04;-0,58;-0,10
0,128;-0,06;-0,61;-0,10
0,129;-0,18;-0,60;-0,11
0,132;-0,31;-0,56;-0,11
0,151;-0,60;-0,41;-0,12
0,152;-0,68;-0,38;-0,08
0,154;-0,76;-0,37;-0,05
0,155;-0,80;-0,34;-0,05
0,156;-0,85;-0,31;-0,03
0,175;-0,89;-0,30;-0,00
0,177;-0,89;-0,29;0,06
0,178;-0,92;-0,30;0,09
0,179;-0,87;-0,41;0,08
0,182;-0,85;-0,44;0,06
0,199;-0,82;-0,46;0,03
0,201;-0,82;-0,49;-0,03
0,202;-0,82;-0,53;-0,07
0,203;-0,84;-0,55;-0,12
0,204;-0,86;-0,58;-0,17
0,225;-0,86;-0,59;-0,22
0,226;-0,85;-0,62;-0,35
0,227;-0,83;-0,63;-0,39
0,228;-0,79;-0,65;-0,42
0,229;-0,77;-0,67;-0,45
0,249;-0,71;-0,72;-0,46
0,250;-0,65;-0,69;-0,47
0,252;-0,55;-0,64;-0,48
0,253;-0,46;-0,57;-0,49
0,259;-0,26;-0,63;-0,45
0,260;-0,22;-0,68;-0,42
0,272;-0,18;-0,64;-0,41
0,278;-0,14;-0,56;-0,40
0,281;-0,08;-0,48;-0,41
0,282;-0,01;-0,38;-0,41
0,284;0,06;-0,30;-0,45
0,302;0,14;-0,22;-0,48
0,305;0,20;-0,15;-0,55
0,309;0,20;-0,12;-0,57
0,310;0,19;-0,07;-0,57
0,311;0,17;-0,02;-0,59
0,328;0,16;0,05;-0,62
0,330;0,14;0,12;-0,62
0,331;0,13;0,18;-0,63
0,332;0,12;0,22;-0,62
0,336;0,13;0,27;-0,56
0,359;0,11;0,29;-0,53
0,361;0,11;0,30;-0,47
0,362;0,12;0,30;-0,41
0,363;0,14;0,32;-0,35
0,366;0,16;0,31;-0,29
0,367;0,16;0,30;-0,26
0,369;0,14;0,42;-0,19
0,395;0,06;0,50;-0,06
0,396;0,01;0,48;0,02
0,397;-0,01;0,49;0,07
0,400;-0,08;0,45;0,10
0,401;-0,10;0,40;0,14
0,402;-0,15;0,32;0,17
0,404;-0,17;0,24;0,18
0,417;-0,21;0,16;0,18
0,419;-0,23;-0,03;0,14
0,420;-0,24;-0,08;0,09
0,424;-0,26;-0,08;0,04
0,428;-0,27;-0,07;-0,01
0,445;-0,29;-0,04;-0,04
0,447;-0,30;-0,02;-0,10
0,448;-0,28;-0,01;-0,13
0,449;-0,25;-0,01;-0,20
0,472;-0,22;-0,01;-0,21
0,473;-0,19;0,01;-0,22
0,475;-0,15;0,03;-0,22
0,476;-0,11;0,08;-0,21
0,477;-0,05;0,14;-0,21
0,479;0,01;0,16;-0,18
0,503;0,05;0,17;-0,15
0,504;0,15;0,23;-0,13
0,505;0,20;0,28;-0,11
0,519;0,25;0,31;-0,10
0,520;0,30;0,34;-0,09
0,521;0,35;0,34;-0,08
0,522;0,38;0,31;-0,10
0,523;0,42;0,25;-0,09
0,524;0,43;0,23;-0,08
0,541;0,43;0,13;-0,10
0,543;0,42;0,08;-0,10
0,544;0,41;0,07;-0,14
0,545;0,39;0,05;-0,14
0,552;0,36;0,06;-0,15
0,569;0,35;0,06;-0,16
0,570;0,32;0,06;-0,17
0,571;0,30;0,10;-0,17
0,573;0,30;0,15;-0,17
0,575;0,31;0,18;-0,17
0,579;0,31;0,19;-0,15
0,600;0,33;0,19;-0,15
0,602;0,34;0,22;-0,13
0,603;0,35;0,23;-0,10
0,604;0,36;0,24;-0,08
0,605;0,38;0,24;-0,06
0,609;0,40;0,21;-0,03
0,615;0,42;0,17;-0,03
0,645;0,40;0,17;-0,03
0,647;0,40;0,18;-0,02
0,648;0,35;0,21;-0,03
0,649;0,32;0,26;-0,02
0,650;0,26;0,31;-0,00
0,651;0,20;0,39;0,03
0,652;0,06;0,54;0,08
0,654;0,01;0,56;0,10
0,672;-0,04;0,61;0,12
0,674;-0,08;0,65;0,13
0,675;-0,13;0,68;0,16
0,676;-0,16;0,70;0,13
0,679;-0,21;0,74;0,14
0,715;-0,23;0,75;0,15
0,716;-0,35;0,78;0,12
0,717;-0,40;0,79;0,09
0,719;-0,47;0,79;0,08
0,720;-0,51;0,77;0,05
0,721;-0,56;0,76;0,01
0,722;-0,60;0,75;-0,04
0,725;-0,62;0,78;-0,07
0,726;-0,65;0,80;-0,13
0,729;-0,66;0,96;-0,23
0,744;-0,66;1,13;-0,26
