time;x;y;z
0,007;0,14;0,17;0,04
0,008;0,16;0,18;0,06
0,008;0,17;0,20;0,09
0,009;0,18;0,21;0,10
0,010;0,23;0,22;0,12
0,011;0,27;0,14;0,21
0,021;0,30;0,07;0,20
0,022;0,29;0,02;0,20
0,033;0,28;0,00;0,17
0,034;0,27;-0,02;0,16
0,047;0,22;0,01;0,12
0,048;0,20;0,03;0,09
0,049;0,12;0,02;0,05
0,050;-0,05;0,05;0,01
0,061;-0,17;0,12;-0,01
0,062;-0,29;0,18;-0,01
0,065;-0,41;0,24;-0,02
0,082;-0,52;0,30;-0,01
0,083;-0,64;0,35;-0,00
0,084;-0,74;0,38;0,04
0,086;-0,86;0,35;0,09
0,100;-1,01;0,38;0,22
0,102;-1,03;0,39;0,27
0,103;-1,01;0,40;0,32
0,116;-0,99;0,37;0,37
0,117;-0,92;0,29;0,42
0,121;-0,85;0,20;0,45
0,123;-0,76;0,11;0,48
0,138;-0,68;-0,02;0,49
0,139;-0,48;-0,27;0,51
0,140;-0,34;-0,38;0,50
0,141;-0,20;-0,38;0,46
0,156;-0,10;-0,32;0,42
0,157;-0,01;-0,25;0,37
0,158;0,06;-0,15;0,34
0,181;0,10;-0,06;0,31
0,182;0,16;-0,01;0,29
0,183;0,22;0,16;0,18
0,185;0,24;0,31;0,09
0,186;0,25;0,41;-0,08
0,187;0,27;0,43;-0,22
0,203;0,26;0,35;-0,23
0,206;0,23;0,27;-0,15
0,207;0,20;0,25;-0,04
0,208;0,19;0,27;0,04
0,232;0,16;0,36;0,06
0,234;0,12;0,39;0,09
0,235;0,05;0,41;0,09
0,238;-0,00;0,43;0,08
0,239;-0,08;0,50;0,07
0,240;-0,18;0,61;0,10
0,242;-0,31;0,70;0,14
0,274;-0,59;0,74;0,20
0,275;-0,73;0,74;0,24
0,276;-0,85;0,78;0,29
0,277;-0,92;0,80;0,34
0,279;-0,97;0,78;0,40
0,281;-0,99;0,67;0,43
0,282;-0,99;0,48;0,44
0,283;-0,99;0,30;0,44
0,298;-0,95;0,18;0,46
0,299;-0,93;0,09;0,46
0,300;-0,90;-0,01;0,46
0,301;-0,88;-0,11;0,44
0,315;-0,86;-0,17;0,44
0,317;-0,85;-0,19;0,44
0,318;-0,84;-0,22;0,44
0,334;-0,81;-0,28;0,45
0,336;-0,72;-0,35;0,49
0,337;-0,67;-0,37;0,49
0,338;-0,66;-0,35;0,49
0,353;-0,61;-0,32;0,47
0,355;-0,59;-0,32;0,46
0,357;-0,57;-0,35;0,43
0,358;-0,56;-0,37;0,41
0,373;-0,54;-0,41;0,41
0,374;-0,52;-0,44;0,37
0,376;-0,50;-0,44;0,34
0,377;-0,49;-0,42;0,34
0,381;-0,46;-0,39;0,34
0,386;-0,41;-0,38;0,34
0,401;-0,38;-0,38;0,35
0,402;-0,34;-0,36;0,36
0,405;-0,30;-0,37;0,35
0,407;-0,27;-0,43;0,31
0,421;-0,26;-0,45;0,30
0,424;-0,25;-0,45;0,27
0,425;-0,25;-0,46;0,25
0,426;-0,27;-0,45;0,25
0,431;-0,26;-0,46;0,24
0,451;-0,28;-0,46;0,24
0,453;-0,28;-0,46;0,22
0,454;-0,31;-0,42;0,19
0,459;-0,32;-0,39;0,16
0,460;-0,33;-0,37;0,12
0,461;-0,35;-0,33;0,03
